,path,label,is_valid
0,train/n02979186/n02979186_9036.JPEG,n02979186,False
1,train/n02979186/n02979186_11957.JPEG,n02979186,False
2,train/n02979186/n02979186_9715.JPEG,n02979186,False
3,train/n02979186/n02979186_21736.JPEG,n02979186,False
4,train/n02979186/ILSVRC2012_val_00046953.JPEG,n02979186,False
5,train/n02979186/n02979186_10568.JPEG,n02979186,False
6,train/n02979186/n02979186_2745.JPEG,n02979186,False
7,train/n02979186/n02979186_3529.JPEG,n02979186,False
8,train/n02979186/n02979186_10756.JPEG,n02979186,False
9,train/n02979186/n02979186_7058.JPEG,n02979186,False
10,train/n02979186/n02979186_12419.JPEG,n02979186,False
11,train/n02979186/n02979186_27479.JPEG,n02979186,False
12,train/n02979186/n02979186_2733.JPEG,n02979186,False
13,train/n02979186/n02979186_23069.JPEG,n02979186,False
14,train/n02979186/n02979186_2467.JPEG,n02979186,False
15,train/n02979186/n02979186_3293.JPEG,n02979186,False
16,train/n02979186/n02979186_22638.JPEG,n02979186,False
17,train/n02979186/n02979186_21779.JPEG,n02979186,False
18,train/n02979186/n02979186_8017.JPEG,n02979186,False
19,train/n02979186/n02979186_10095.JPEG,n02979186,False
20,train/n02979186/n02979186_6725.JPEG,n02979186,False
21,train/n02979186/n02979186_22439.JPEG,n02979186,False
22,train/n02979186/n02979186_16477.JPEG,n02979186,False
23,train/n02979186/n02979186_8537.JPEG,n02979186,False
24,train/n02979186/n02979186_3113.JPEG,n02979186,False
25,train/n02979186/n02979186_10546.JPEG,n02979186,False
26,train/n02979186/n02979186_16559.JPEG,n02979186,False
27,train/n02979186/n02979186_16253.JPEG,n02979186,False
28,train/n02979186/n02979186_6335.JPEG,n02979186,False
29,train/n02979186/n02979186_4665.JPEG,n02979186,False
30,train/n02979186/n02979186_14793.JPEG,n02979186,False
31,train/n02979186/n02979186_10289.JPEG,n02979186,False
32,train/n02979186/n02979186_947.JPEG,n02979186,False
33,train/n02979186/n02979186_1783.JPEG,n02979186,False
34,train/n02979186/n02979186_25427.JPEG,n02979186,False
35,train/n02979186/n02979186_5779.JPEG,n02979186,False
36,train/n02979186/n02979186_9155.JPEG,n02979186,False
37,train/n02979186/n02979186_11524.JPEG,n02979186,False
38,train/n02979186/n02979186_27643.JPEG,n02979186,False
39,train/n02979186/n02979186_12008.JPEG,n02979186,False
40,train/n02979186/n02979186_9858.JPEG,n02979186,False
41,train/n02979186/n02979186_11976.JPEG,n02979186,False
42,train/n02979186/n02979186_9914.JPEG,n02979186,False
43,train/n02979186/n02979186_7166.JPEG,n02979186,False
44,train/n02979186/n02979186_2563.JPEG,n02979186,False
45,train/n02979186/n02979186_293.JPEG,n02979186,False
46,train/n02979186/n02979186_569.JPEG,n02979186,False
47,train/n02979186/n02979186_6046.JPEG,n02979186,False
48,train/n02979186/n02979186_17757.JPEG,n02979186,False
49,train/n02979186/n02979186_16277.JPEG,n02979186,False
50,train/n02979186/n02979186_8227.JPEG,n02979186,False
51,train/n02979186/n02979186_4313.JPEG,n02979186,False
52,train/n02979186/n02979186_1148.JPEG,n02979186,False
53,train/n02979186/n02979186_4266.JPEG,n02979186,False
54,train/n02979186/n02979186_9873.JPEG,n02979186,False
55,train/n02979186/n02979186_1408.JPEG,n02979186,False
56,train/n02979186/n02979186_6203.JPEG,n02979186,False
57,train/n02979186/n02979186_16933.JPEG,n02979186,False
58,train/n02979186/n02979186_16825.JPEG,n02979186,False
59,train/n02979186/n02979186_3104.JPEG,n02979186,False
60,train/n02979186/n02979186_16667.JPEG,n02979186,False
61,train/n02979186/n02979186_9394.JPEG,n02979186,False
62,train/n02979186/n02979186_12049.JPEG,n02979186,False
63,train/n02979186/n02979186_20224.JPEG,n02979186,False
64,train/n02979186/ILSVRC2012_val_00047974.JPEG,n02979186,False
65,train/n02979186/n02979186_2965.JPEG,n02979186,False
66,train/n02979186/n02979186_22164.JPEG,n02979186,False
67,train/n02979186/ILSVRC2012_val_00016648.JPEG,n02979186,False
68,train/n02979186/n02979186_12236.JPEG,n02979186,False
69,train/n02979186/n02979186_3556.JPEG,n02979186,False
70,train/n02979186/n02979186_10993.JPEG,n02979186,False
71,train/n02979186/n02979186_529.JPEG,n02979186,False
72,train/n02979186/n02979186_14496.JPEG,n02979186,False
73,train/n02979186/n02979186_1823.JPEG,n02979186,False
74,train/n02979186/n02979186_10715.JPEG,n02979186,False
75,train/n02979186/n02979186_20937.JPEG,n02979186,False
76,train/n02979186/n02979186_5353.JPEG,n02979186,False
77,train/n02979186/n02979186_15213.JPEG,n02979186,False
78,train/n02979186/ILSVRC2012_val_00037988.JPEG,n02979186,False
79,train/n02979186/n02979186_23733.JPEG,n02979186,False
80,train/n02979186/n02979186_4704.JPEG,n02979186,False
81,train/n02979186/n02979186_23516.JPEG,n02979186,False
82,train/n02979186/n02979186_3603.JPEG,n02979186,False
83,train/n02979186/n02979186_3926.JPEG,n02979186,False
84,train/n02979186/n02979186_2083.JPEG,n02979186,False
85,train/n02979186/n02979186_9688.JPEG,n02979186,False
86,train/n02979186/n02979186_19444.JPEG,n02979186,False
87,train/n02979186/n02979186_15169.JPEG,n02979186,False
88,train/n02979186/n02979186_3009.JPEG,n02979186,False
89,train/n02979186/n02979186_24027.JPEG,n02979186,False
90,train/n02979186/n02979186_2163.JPEG,n02979186,False
91,train/n02979186/n02979186_9339.JPEG,n02979186,False
92,train/n02979186/n02979186_21318.JPEG,n02979186,False
93,train/n02979186/n02979186_15154.JPEG,n02979186,False
94,train/n02979186/n02979186_10706.JPEG,n02979186,False
95,train/n02979186/n02979186_734.JPEG,n02979186,False
96,train/n02979186/n02979186_9863.JPEG,n02979186,False
97,train/n02979186/n02979186_27494.JPEG,n02979186,False
98,train/n02979186/n02979186_11839.JPEG,n02979186,False
99,train/n02979186/n02979186_27347.JPEG,n02979186,False
100,train/n02979186/n02979186_5346.JPEG,n02979186,False
101,train/n02979186/n02979186_15096.JPEG,n02979186,False
102,train/n02979186/n02979186_6899.JPEG,n02979186,False
103,train/n02979186/n02979186_9449.JPEG,n02979186,False
104,train/n02979186/n02979186_15747.JPEG,n02979186,False
105,train/n02979186/n02979186_4059.JPEG,n02979186,False
106,train/n02979186/n02979186_2558.JPEG,n02979186,False
107,train/n02979186/n02979186_2853.JPEG,n02979186,False
108,train/n02979186/n02979186_6616.JPEG,n02979186,False
109,train/n02979186/n02979186_25977.JPEG,n02979186,False
