,path,label,split,name
0,train/n03000684/n03000684_1533.JPEG,n03000684,train,chain saw
1,train/n03000684/n03000684_1748.JPEG,n03000684,train,chain saw
2,train/n03000684/n03000684_2899.JPEG,n03000684,train,chain saw
3,train/n03000684/n03000684_7597.JPEG,n03000684,train,chain saw
4,train/n03000684/n03000684_507.JPEG,n03000684,train,chain saw
5,train/n03000684/n03000684_16608.JPEG,n03000684,train,chain saw
6,train/n03000684/n03000684_1483.JPEG,n03000684,train,chain saw
7,train/n03000684/n03000684_1643.JPEG,n03000684,train,chain saw
8,train/n03000684/n03000684_3114.JPEG,n03000684,train,chain saw
9,train/n03000684/n03000684_4636.JPEG,n03000684,train,chain saw
10,train/n03000684/n03000684_17778.JPEG,n03000684,train,chain saw
11,train/n03000684/n03000684_13707.JPEG,n03000684,train,chain saw
12,train/n03000684/n03000684_10175.JPEG,n03000684,train,chain saw
13,train/n03000684/n03000684_14234.JPEG,n03000684,train,chain saw
14,train/n03000684/ILSVRC2012_val_00041057.JPEG,n03000684,train,chain saw
15,train/n03000684/n03000684_15329.JPEG,n03000684,train,chain saw
16,train/n03000684/n03000684_28399.JPEG,n03000684,train,chain saw
17,train/n03000684/n03000684_1463.JPEG,n03000684,train,chain saw
18,train/n03000684/n03000684_30364.JPEG,n03000684,train,chain saw
19,train/n03000684/n03000684_6046.JPEG,n03000684,train,chain saw
20,train/n03000684/n03000684_5543.JPEG,n03000684,train,chain saw
21,train/n03000684/n03000684_573.JPEG,n03000684,train,chain saw
22,train/n03000684/n03000684_13255.JPEG,n03000684,train,chain saw
23,train/n03000684/n03000684_13873.JPEG,n03000684,train,chain saw
24,train/n03000684/n03000684_1015.JPEG,n03000684,train,chain saw
25,train/n03000684/n03000684_16096.JPEG,n03000684,train,chain saw
26,train/n03000684/n03000684_24493.JPEG,n03000684,train,chain saw
27,train/n03000684/n03000684_15843.JPEG,n03000684,train,chain saw
28,train/n03000684/n03000684_2828.JPEG,n03000684,train,chain saw
29,train/n03000684/n03000684_4164.JPEG,n03000684,train,chain saw
30,train/n03000684/n03000684_13356.JPEG,n03000684,train,chain saw
31,train/n03000684/n03000684_3085.JPEG,n03000684,train,chain saw
32,train/n03000684/n03000684_2907.JPEG,n03000684,train,chain saw
33,train/n03000684/n03000684_6479.JPEG,n03000684,train,chain saw
34,train/n03000684/n03000684_16228.JPEG,n03000684,train,chain saw
35,train/n03000684/n03000684_32408.JPEG,n03000684,train,chain saw
36,train/n03000684/n03000684_3123.JPEG,n03000684,train,chain saw
37,train/n03000684/n03000684_3343.JPEG,n03000684,train,chain saw
38,train/n03000684/n03000684_31453.JPEG,n03000684,train,chain saw
39,train/n03000684/n03000684_6266.JPEG,n03000684,train,chain saw
40,train/n03000684/n03000684_9147.JPEG,n03000684,train,chain saw
41,train/n03000684/n03000684_15319.JPEG,n03000684,train,chain saw
42,train/n03000684/n03000684_16293.JPEG,n03000684,train,chain saw
43,train/n03000684/n03000684_11113.JPEG,n03000684,train,chain saw
44,train/n03000684/n03000684_34584.JPEG,n03000684,train,chain saw
45,train/n03000684/n03000684_16447.JPEG,n03000684,train,chain saw
46,train/n03000684/n03000684_10533.JPEG,n03000684,train,chain saw
47,train/n03000684/n03000684_6306.JPEG,n03000684,train,chain saw
48,train/n03000684/n03000684_649.JPEG,n03000684,train,chain saw
49,train/n03000684/n03000684_10987.JPEG,n03000684,train,chain saw
50,train/n03000684/n03000684_12893.JPEG,n03000684,train,chain saw
51,train/n03000684/n03000684_9728.JPEG,n03000684,train,chain saw
52,train/n03000684/n03000684_4557.JPEG,n03000684,train,chain saw
53,train/n03000684/n03000684_34284.JPEG,n03000684,train,chain saw
54,train/n03000684/n03000684_28509.JPEG,n03000684,train,chain saw
55,train/n03000684/n03000684_1126.JPEG,n03000684,train,chain saw
56,train/n03000684/n03000684_13236.JPEG,n03000684,train,chain saw
57,train/n03000684/n03000684_6874.JPEG,n03000684,train,chain saw
58,train/n03000684/n03000684_16088.JPEG,n03000684,train,chain saw
59,train/n03000684/n03000684_11497.JPEG,n03000684,train,chain saw
60,train/n03000684/n03000684_646.JPEG,n03000684,train,chain saw
61,train/n03000684/n03000684_9309.JPEG,n03000684,train,chain saw
62,train/n03000684/ILSVRC2012_val_00046764.JPEG,n03000684,train,chain saw
63,train/n03000684/n03000684_4717.JPEG,n03000684,train,chain saw
64,train/n03000684/n03000684_8393.JPEG,n03000684,train,chain saw
