,image_path,label_str,label,split
0,train/n03000684/n03000684_1139.JPEG,chain saw,1,train
1,train/n03000684/n03000684_28655.JPEG,chain saw,1,train
2,train/n03000684/n03000684_4636.JPEG,chain saw,1,train
3,train/n03000684/n03000684_24403.JPEG,chain saw,1,train
4,train/n03000684/n03000684_94.JPEG,chain saw,1,train
5,train/n03000684/n03000684_15775.JPEG,chain saw,1,train
6,train/n03000684/ILSVRC2012_val_00046764.JPEG,chain saw,1,train
7,train/n03000684/n03000684_2219.JPEG,chain saw,1,train
8,train/n03000684/n03000684_20065.JPEG,chain saw,1,train
9,train/n03000684/n03000684_28288.JPEG,chain saw,1,train
10,train/n03000684/n03000684_6439.JPEG,chain saw,1,train
11,train/n03000684/n03000684_19719.JPEG,chain saw,1,train
12,train/n03000684/n03000684_5899.JPEG,chain saw,1,train
13,train/n03000684/n03000684_1014.JPEG,chain saw,1,train
14,train/n03000684/n03000684_36449.JPEG,chain saw,1,train
15,train/n03000684/n03000684_27538.JPEG,chain saw,1,train
16,train/n03000684/n03000684_24493.JPEG,chain saw,1,train
17,train/n03000684/n03000684_26727.JPEG,chain saw,1,train
18,train/n03000684/n03000684_6243.JPEG,chain saw,1,train
19,train/n03000684/n03000684_5469.JPEG,chain saw,1,train
20,train/n03000684/n03000684_24885.JPEG,chain saw,1,train
21,train/n03000684/n03000684_13236.JPEG,chain saw,1,train
22,train/n03000684/n03000684_33094.JPEG,chain saw,1,train
23,train/n03000684/n03000684_11366.JPEG,chain saw,1,train
24,train/n03000684/n03000684_26458.JPEG,chain saw,1,train
25,train/n03000684/n03000684_11713.JPEG,chain saw,1,train
26,train/n03000684/n03000684_35465.JPEG,chain saw,1,train
27,train/n03000684/n03000684_11098.JPEG,chain saw,1,train
28,train/n03000684/n03000684_13945.JPEG,chain saw,1,train
29,train/n03000684/n03000684_21868.JPEG,chain saw,1,train
30,train/n03000684/n03000684_17254.JPEG,chain saw,1,train
31,train/n03000684/n03000684_10259.JPEG,chain saw,1,train
